input_text,isl_gloss
I am going to school.,I SCHOOL GO
I AM NOT GOING TO SCHOOL,I SCHOOL GO NOT
THE ARMY ARRIVE,ARMY ARRIVE
i am not going to school,I SCHOOL GO NOT
i am not going to school,I NOT SCHOOL GO
i am not going to school,I NOT SCHOOL GO
Hi. Hello.,HI HELLO
i am not going too school,I SCHOOL GO NOT
i am not going too school,I SCHOOL GO NOT
i am not going too school,I SCHOOL GO NOT
i am not going too school,I SCHOOL GO NOT
i am not going,I GO NOT
i am not going to school,I SCHOOL GO NOT
